,feature,importance,group_feature,importance_normalized
220,bureau_AMT_CREDIT_SUM_LIMIT_min,6,bureau,0.0004524545660206621
277,previous_PRODUCT_COMBINATION_Cash Street: low_mean,6,previous,0.0004524545660206621
262,previous_CODE_REJECT_REASON_SCO_mean,6,previous,0.0004524545660206621
289,application_ORGANIZATION_TYPE_Business Entity Type 3,5,application,0.0003770454716838851
296,application_NAME_HOUSING_TYPE_House / apartment,5,application,0.0003770454716838851
274,previous_CHANNEL_TYPE_AP+ (Cash loan)_sum,5,previous,0.0003770454716838851
264,application_ORGANIZATION_TYPE_Bank,5,application,0.0003770454716838851
288,previous_WEEKDAY_APPR_PROCESS_START_THURSDAY_sum,4,previous,0.0003016363773471081
279,previous_NAME_TYPE_SUITE_Other_B_mean,4,previous,0.0003016363773471081
302,bureau_balance_STATUS_max_min,4,bureau,0.0003016363773471081
284,previous_PRODUCT_COMBINATION_Cash Street: middle_mean,2,previous,0.00015081818867355404
